FID_,band1_ndvi,band2_gndvi,band3_evi,band4_savi,tons_area
821,0.802911937,0.720247388,0.553906381,0.525359213,5
21,0.8376683,0.740828574,0.599009395,0.564096332,5.01
1184,0.810001254,0.723891199,0.573775172,0.545911133,5.02
1359,0.89252907,0.813596725,0.8393448,0.733870924,5.02
3695,0.826901436,0.737456739,0.576447666,0.552572489,5.02
94,0.827207208,0.73409307,0.581771433,0.553803504,5.03
990,0.829187095,0.737084806,0.606106758,0.569165885,5.03
144,0.85094893,0.749084771,0.663426697,0.616858304,5.04
3326,0.786421776,0.703306437,0.574224949,0.536062062,5.04
3360,0.813138723,0.72163707,0.571238577,0.5406003,5.04
3642,0.853431284,0.753710806,0.649549365,0.603464961,5.04
65,0.805860162,0.728184104,0.544448793,0.521620631,5.05
2684,0.843933523,0.753985763,0.659462571,0.609945774,5.06
705,0.810901582,0.738621831,0.595461726,0.557218552,5.07
2420,0.850044608,0.773473024,0.59195298,0.556636274,5.07
3691,0.83373642,0.746359587,0.66420114,0.600173891,5.07
668,0.85162282,0.759696364,0.648888469,0.590768635,5.08
1103,0.823613286,0.741703987,0.575832665,0.543431997,5.08
1820,0.819650531,0.757430077,0.574724674,0.534706652,5.08
2777,0.859134197,0.761646867,0.632409096,0.593433678,5.08
2201,0.824580193,0.74616462,0.592472196,0.557718694,5.09
702,0.809472978,0.709149361,0.575825453,0.546055555,5.1
743,0.755963445,0.678765655,0.510367274,0.500240326,5.11
1186,0.837807417,0.742109835,0.584854543,0.547804177,5.11
2766,0.84031719,0.762679279,0.645434856,0.594114423,5.11
2845,0.767278492,0.699497759,0.531910896,0.512126565,5.11
906,0.857752442,0.762059629,0.728853881,0.648545325,5.12
2765,0.864904225,0.767188609,0.63509655,0.604677439,5.12
3099,0.739631951,0.669004023,0.510874093,0.499032319,5.12
943,0.769972563,0.691662133,0.535288393,0.501764238,5.13
526,0.821730316,0.729567707,0.622833848,0.58210808,5.14
311,0.804002047,0.725706041,0.573508203,0.535757482,5.17
