FID_,band1_ndvi,band2_gndvi,band3_evi,band4_savi,tons_area
0,0.791173995,0.715496123,0.525670171,0.499873459,12.79
1,0.804171741,0.707401633,0.591843784,0.551852942,12.08
2,0.808445692,0.741282046,0.585031152,0.547903061,9.22
3,0.814685583,0.740537286,0.581901908,0.54914093,0
4,0.829327524,0.744270742,0.703838527,0.622736633,6.44
5,0.766294003,0.682226062,0.547157824,0.524713099,5.62
6,0.828876138,0.728716314,0.6692518,0.609295547,6.55
7,0.828421414,0.724608839,0.590515971,0.557993829,9.87
8,0.796502054,0.736049414,0.583338201,0.546054721,8.45
9,0.860773981,0.768667758,0.694611013,0.61529845,0
10,0.804715216,0.74004215,0.558027804,0.534886241,0
11,0.802847445,0.707100153,0.561751246,0.536042392,11.47
12,0.836308062,0.764263034,0.613658071,0.569203854,6.07
13,0.7876423,0.699774981,0.559756637,0.534718871,7.81
14,0.821030617,0.723772168,0.594504535,0.558008611,7.38
16,0.802206874,0.717138648,0.562744856,0.539068639,8.95
17,0.811362445,0.717055559,0.570616901,0.544690311,7.04
18,0.801364839,0.702254176,0.567393243,0.538865268,0
19,0.84519583,0.763424277,0.65383929,0.603933513,10.23
20,0.853793323,0.758640349,0.630224228,0.586588562,6.98
21,0.8376683,0.740828574,0.599009395,0.564096332,5.01
22,0.852692306,0.783367157,0.617981255,0.58465606,5.76
23,0.773220479,0.71017015,0.565329611,0.534679413,12.01
24,0.760513842,0.703971982,0.556922317,0.529368341,0
25,0.86174953,0.766256809,0.699757934,0.638593018,14.79
26,0.870252788,0.778829694,0.730547845,0.660953999,12.72
27,0.769073963,0.696510017,0.534652293,0.510812581,7.81
28,0.780694604,0.715827167,0.57203567,0.540432274,6.87
29,0.748322248,0.685135245,0.549111545,0.512667298,10.29
30,0.865678012,0.771547318,0.715824187,0.652793109,12.01
31,0.795513034,0.706288278,0.530660868,0.509729505,6.74
32,0.761729956,0.690999091,0.540360153,0.493400633,7.99
33,0.683820546,0.62713021,0.485931575,0.449508309,5.82
34,0.863420248,0.751409113,0.681001604,0.623953164,15.27
35,0.734681129,0.690970838,0.485517979,0.476486117,0
36,0.874479353,0.78729564,0.758386135,0.659419298,10.83
37,0.846987724,0.759548962,0.668383896,0.602906764,6.93
38,0.84560734,0.756443977,0.631924689,0.583374083,7.44
39,0.851294935,0.751398325,0.646895289,0.600282192,8.19
40,0.819370627,0.740671575,0.616384327,0.572161555,5.71
41,0.851216137,0.745134056,0.630647421,0.588184476,11.62
42,0.840501368,0.748510778,0.644958317,0.596398115,9.35
43,0.863215387,0.780453861,0.712463677,0.647353292,0
44,0.835812688,0.756606579,0.62321943,0.577881575,12.69
45,0.842304885,0.753595054,0.625647545,0.584022105,0
46,0.858192623,0.771768332,0.591164231,0.550193667,9.96
47,0.867279172,0.781710804,0.598676503,0.551368833,6.47
48,0.827686727,0.745323777,0.604456902,0.566414297,9.85
49,0.826122165,0.737855852,0.602316797,0.565473974,0
50,0.855190516,0.757330596,0.592774272,0.558806658,7.73
51,0.828226864,0.74748081,0.604523659,0.563844681,0
52,0.809311867,0.722682714,0.591089904,0.561197102,11.79
53,0.822224736,0.747261167,0.617730379,0.575373113,0
54,0.823587358,0.719692647,0.585074186,0.552072227,0
55,0.770496726,0.700928152,0.544853926,0.523225248,0
56,0.776740491,0.715499878,0.5028162,0.491385877,0
57,0.865234315,0.758424997,0.722873211,0.647633433,0
58,0.827510953,0.729617238,0.619658113,0.591240704,0
59,0.836824238,0.749574304,0.627664447,0.577914417,0
60,0.856928647,0.768121362,0.76098156,0.664718151,9.41
61,0.853675306,0.750035167,0.679033041,0.649424493,9.36
62,0.848631501,0.753683031,0.682879686,0.616296351,0
63,0.835501134,0.73657316,0.663690865,0.601529658,12.33
64,0.818929434,0.713651955,0.638230205,0.58756417,8.65
65,0.805860162,0.728184104,0.544448793,0.521620631,5.05
66,0.855718076,0.758809865,0.700237513,0.637406588,11.21
67,0.835427284,0.735482335,0.654854715,0.603594422,6.69
68,0.817853093,0.736424804,0.606830657,0.569188178,0
69,0.845872879,0.754178822,0.68372637,0.622672439,9.32
70,0.852966011,0.76028347,0.688686311,0.627442122,6.6
71,0.862889886,0.751528442,0.701964319,0.639235795,0
72,0.84789896,0.758765042,0.636576712,0.592186868,0
73,0.815685213,0.718908608,0.626750886,0.575134516,0
74,0.847312927,0.756810665,0.652213156,0.59872824,13.13
75,0.80716902,0.728374064,0.588091612,0.557861388,11.26
76,0.841321886,0.764357209,0.591524839,0.556607902,11.58
77,0.787790537,0.698244929,0.549862504,0.528607011,17.71
78,0.784266829,0.689121664,0.549862504,0.528607011,9.06
79,0.815406501,0.72574234,0.593306959,0.553766429,0
80,0.839225709,0.744603634,0.629334569,0.58003521,0
81,0.824342251,0.728878319,0.590643048,0.556132853,0
82,0.816455066,0.716319084,0.569658995,0.541665792,5.82
83,0.802831233,0.719785273,0.576518595,0.53797102,8.57
84,0.782833457,0.737187564,0.531716049,0.519669831,8.55
85,0.781046987,0.703297496,0.55342865,0.530165851,6.85
86,0.786591113,0.738036394,0.565594256,0.531349182,8.67
87,0.818083584,0.760924459,0.486603558,0.480831504,14.73
88,0.839824796,0.751336515,0.592267632,0.562306464,0
89,0.795220673,0.703678429,0.572443724,0.534853458,7.02
90,0.860855699,0.765826285,0.671000779,0.613270402,11.11
91,0.839292109,0.757876873,0.621538699,0.575248599,10.24
92,0.753400981,0.718052387,0.484476328,0.48493734,0
93,0.82034564,0.728130639,0.599678218,0.561394751,8.54
94,0.827207208,0.73409307,0.581771433,0.553803504,5.03
95,0.778154016,0.691264331,0.539681613,0.512428701,6.51
96,0.836418271,0.763320863,0.606963217,0.566432416,9.53
97,0.818361819,0.710437,0.578757882,0.548605263,8.8
98,0.855991185,0.765026808,0.649336278,0.601204753,17.46
99,0.874955058,0.779903293,0.657348871,0.608462214,8.85
100,0.854810894,0.758521616,0.664782286,0.59869051,9.64
101,0.837403715,0.731858492,0.606562614,0.567777634,6.87
102,0.802355826,0.728783309,0.6156919,0.578174651,10.79
103,0.833942831,0.738925517,0.65117389,0.587888837,0
104,0.820843875,0.745191753,0.55296731,0.532426953,0
105,0.858409941,0.766850054,0.660648882,0.604649186,10.59
106,0.779197931,0.699871063,0.542455614,0.517994583,5.34
107,0.86594671,0.764549375,0.672657788,0.609484315,8.52
108,0.861565173,0.771180451,0.682225883,0.623527646,11.12
109,0.830396831,0.731771886,0.611267924,0.575051546,5.99
110,0.80322957,0.721849442,0.578569531,0.543057144,9.68
111,0.763409972,0.720810413,0.525916338,0.508284092,0
112,0.851515114,0.746471524,0.653743029,0.600054741,7.83
113,0.846163869,0.764952242,0.657221317,0.605575323,5.81
114,0.797669291,0.723444045,0.547671497,0.522367835,11.29
115,0.80363673,0.718179941,0.580598652,0.538081229,7.88
